INSTRUMENT,DATE,RATE,CONVEXITY
DEPOSIT,6/29/2023,0.0231381,
FUT,9/20/2023,97.6675,-0.00005
FUT,12/20/2023,97.52,-0.0006
FUT,3/20/2024,97.355,-0.00146
FUT,6/19/2024,97.245,-0.00263
FUT,9/18/2024,97.145,-0.00411
FUT,12/18/2024,97.075,-0.00589
SWAP,7/3/2025,0.027763,
SWAP,7/3/2026,0.028634,
SWAP,7/3/2027,0.029043,
SWAP,7/3/2028,0.0292925,
SWAP,7/3/2029,0.029425,
SWAP,7/3/2030,0.0295675,
SWAP,7/3/2031,0.0297115,
SWAP,7/3/2032,0.029861,
SWAP,7/3/2033,0.0300055,
SWAP,7/3/2034,0.030147,
SWAP,7/3/2035,0.030248,
SWAP,7/3/2038,0.03043,
SWAP,7/3/2043,0.03048,
SWAP,7/3/2048,0.030342,
SWAP,7/3/2053,0.03012,
SWAP,7/3/2063,0.029715,
SWAP,7/3/2073,0.029265,
